tx_id,sender,receiver,amount,timestamp,wallet_age_days
TX00038,WALLET_0348,WALLET_0487,14.78,2026-01-15 20:59:44,13
TX00039,WALLET_0014,WALLET_0394,10896.16,2026-01-22 04:56:07,4
TX00040,WALLET_0185,WALLET_0404,2653.07,2026-01-07 11:24:26,98
TX00041,WALLET_0453,WALLET_0398,29.73,2026-01-01 20:40:34,2
TX00042,WALLET_0299,WALLET_0161,12426.2,2026-01-25 00:36:07,62
TX00043,WALLET_0036,WALLET_0314,1961.37,2025-12-27 23:45:34,12
TX00044,WALLET_0203,WALLET_0375,5578.62,2026-01-08 02:33:30,266
TX00045,WALLET_0478,WALLET_0197,18399.26,2026-01-08 16:09:56,13
TX00046,WALLET_0359,WALLET_0250,56.47,2026-01-22 04:16:43,5
TX00047,WALLET_0005,WALLET_0212,8561.59,2025-12-31 14:36:48,4
TX00048,WALLET_0108,WALLET_0047,882.91,2026-01-19 15:26:14,104
TX00049,WALLET_0487,WALLET_0423,63.31,2026-01-12 08:30:31,50
TX00050,WALLET_0230,WALLET_0108,53.85,2025-12-28 22:27:03,4
TX00051,WALLET_0383,WALLET_0416,5435.77,2025-12-31 23:47:46,49
TX00052,WALLET_0141,WALLET_0225,2667.7,2026-01-14 12:39:44,6
TX00053,WALLET_0056,WALLET_0142,37.66,2026-01-21 22:48:13,12
TX00054,WALLET_0043,WALLET_0276,26.14,2026-01-07 14:17:49,221
TX00055,WALLET_0388,WALLET_0375,10.04,2026-01-17 03:53:22,4
TX00056,WALLET_0023,WALLET_0433,20.22,2026-01-07 04:20:22,12
TX00057,WALLET_0134,WALLET_0377,11.62,2026-01-14 19:16:10,11
TX00058,WALLET_0274,WALLET_0446,14833.59,2026-01-22 15:42:43,9
TX00059,WALLET_0043,WALLET_0029,2350.25,2026-01-03 19:50:47,12
TX00060,WALLET_0183,WALLET_0402,6065.33,2026-01-22 11:24:10,197
TX00061,WALLET_0147,WALLET_0068,43.93,2026-01-09 10:05:48,12
TX00062,WALLET_0498,WALLET_0284,80.45,2025-12-30 04:09:24,3
TX00063,WALLET_0471,WALLET_0314,2475.75,2026-01-24 10:56:21,156
TX00064,WALLET_0225,WALLET_0441,6252.37,2026-01-22 16:28:46,222
TX00065,WALLET_0299,WALLET_0500,22.91,2026-01-25 13:57:10,157
TX00066,WALLET_0031,WALLET_0119,7433.72,2026-01-10 11:33:26,8
TX00067,WALLET_0462,WALLET_0226,47.46,2026-01-06 09:56:53,10
TX00068,WALLET_0255,WALLET_0109,886.28,2026-01-08 01:10:26,12
TX00069,WALLET_0134,WALLET_0071,6433.85,2026-01-22 17:14:56,213
TX00070,WALLET_0408,WALLET_0208,7716.3,2025-12-31 23:57:51,93
TX00071,WALLET_0399,WALLET_0466,2014.86,2026-01-02 07:59:05,166
TX00072,WALLET_0188,WALLET_0392,2964.3,2026-01-09 01:21:37,287
TX00073,WALLET_0144,WALLET_0438,826.53,2026-01-05 20:18:20,9
TX00074,WALLET_0039,WALLET_0456,11236.3,2025-12-28 13:46:54,14
TX00075,WALLET_0034,WALLET_0299,76.86,2026-01-06 09:54:39,8
TX00076,WALLET_0172,WALLET_0468,736.36,2026-01-25 11:04:34,140
TX00077,WALLET_0480,WALLET_0415,18075.02,2026-01-14 17:40:32,13
TX00078,WALLET_0245,WALLET_0241,1733.02,2026-01-04 21:13:30,3
TX00079,WALLET_0341,WALLET_0229,1896.42,2026-01-09 01:46:36,8
TX00080,WALLET_0307,WALLET_0121,8056.66,2026-01-11 11:10:51,139
TX00081,WALLET_0229,WALLET_0062,842.12,2026-01-09 21:52:53,11
TX00082,WALLET_0419,WALLET_0032,24.63,2026-01-08 04:47:28,282
TX00083,WALLET_0070,WALLET_0110,33.6,2026-01-06 02:25:10,8
TX00084,WALLET_0190,WALLET_0192,14054.87,2026-01-14 13:45:31,85
TX00085,WALLET_0362,WALLET_0063,77.05,2026-01-17 04:49:07,182
TX00086,WALLET_0108,WALLET_0257,13280.04,2026-01-24 19:08:03,173
TX00087,WALLET_0288,WALLET_0240,18215.82,2026-01-08 23:19:50,6
TX00088,WALLET_0063,WALLET_0327,89.67,2026-01-18 11:25:15,15
TX00089,WALLET_0460,WALLET_0433,43.29,2026-01-20 10:55:31,247
TX00090,WALLET_0123,WALLET_0473,14322.04,2025-12-26 17:07:50,215
TX00091,WALLET_0225,WALLET_0364,17666.01,2026-01-01 02:32:30,3
TX00092,WALLET_0429,WALLET_0102,2090.21,2025-12-30 10:26:51,12
TX00093,WALLET_0185,WALLET_0467,14693.68,2026-01-16 21:27:52,163
TX00094,WALLET_0112,WALLET_0180,32.47,2025-12-28 18:33:04,14
TX00095,WALLET_0410,WALLET_0177,512.18,2026-01-01 13:11:09,139
TX00096,WALLET_0006,WALLET_0368,1989.25,2026-01-10 05:22:53,6
TX00097,WALLET_0489,WALLET_0355,37.43,2026-01-05 21:54:13,250
TX00098,WALLET_0302,WALLET_0091,66.33,2026-01-10 07:05:08,203
TX00099,WALLET_0470,WALLET_0380,10959.24,2026-01-11 10:23:02,50
TX00100,WALLET_0090,WALLET_0050,67.72,2026-01-19 01:11:33,182
TX00101,WALLET_0076,WALLET_0052,12344.82,2025-12-29 22:38:18,10
TX00102,WALLET_0128,WALLET_0318,15184.92,2026-01-15 13:09:34,169
TX00103,WALLET_0124,WALLET_0005,5.95,2025-12-31 11:34:12,9
TX00104,WALLET_0229,WALLET_0066,70.23,2026-01-16 05:10:55,143
TX00105,WALLET_0136,WALLET_0230,7109.28,2025-12-29 18:23:43,54
TX00106,WALLET_0198,WALLET_0151,5065.27,2026-01-20 10:27:33,243
TX00107,WALLET_0432,WALLET_0265,33.21,2026-01-13 22:23:30,13
TX00108,WALLET_0246,WALLET_0152,2880.91,2026-01-02 22:04:41,13
TX00109,WALLET_0404,WALLET_0073,5.32,2026-01-16 23:48:09,10
TX00110,WALLET_0375,WALLET_0113,43.58,2026-01-23 15:30:44,106
TX00111,WALLET_0385,WALLET_0419,2098.93,2026-01-18 19:09:25,10
TX00112,WALLET_0329,WALLET_0392,8420.83,2025-12-26 21:00:29,232
TX00113,WALLET_0087,WALLET_0042,61.63,2026-01-02 17:47:54,266
TX00114,WALLET_0081,WALLET_0292,36.45,2026-01-11 18:58:30,12
TX00115,WALLET_0414,WALLET_0071,44.09,2026-01-05 20:07:02,82
TX00116,WALLET_0072,WALLET_0221,12456.3,2026-01-13 18:40:51,39
TX00117,WALLET_0225,WALLET_0255,16818.28,2026-01-19 10:56:31,2
TX00118,WALLET_0257,WALLET_0353,16613.06,2026-01-06 03:29:06,3
TX00119,WALLET_0217,WALLET_0163,1271.51,2026-01-16 12:42:32,290
TX00120,WALLET_0285,WALLET_0499,2549.79,2026-01-18 19:26:17,3
TX00121,WALLET_0201,WALLET_0358,1571.17,2026-01-19 13:00:24,5
TX00122,WALLET_0067,WALLET_0482,959.33,2026-01-10 12:58:28,9
TX00123,WALLET_0046,WALLET_0204,76.88,2026-01-18 09:57:39,146
TX00124,WALLET_0391,WALLET_0121,10681.29,2026-01-25 13:54:14,8
TX00125,WALLET_0136,WALLET_0323,84.0,2026-01-14 04:58:47,15
TX00126,WALLET_0364,WALLET_0407,12957.02,2026-01-07 19:19:31,8
TX00127,WALLET_0228,WALLET_0405,670.47,2026-01-13 20:51:18,40
TX00128,WALLET_0352,WALLET_0399,8334.79,2025-12-30 16:44:10,12
TX00129,WALLET_0486,WALLET_0178,83.73,2026-01-24 09:03:17,4
TX00130,WALLET_0062,WALLET_0193,6646.75,2025-12-29 22:36:23,111
TX00131,WALLET_0122,WALLET_0052,9961.65,2026-01-23 10:40:25,194
TX00132,WALLET_0081,WALLET_0023,656.29,2026-01-21 13:31:27,4
TX00133,WALLET_0032,WALLET_0135,2507.38,2025-12-28 11:54:52,10
TX00134,WALLET_0083,WALLET_0177,19673.79,2026-01-09 17:34:10,117
TX00135,WALLET_0052,WALLET_0088,75.48,2026-01-05 07:36:57,164
TX00136,WALLET_0018,WALLET_0368,649.74,2026-01-24 23:08:32,47
TX00137,WALLET_0123,WALLET_0282,27.25,2026-01-14 09:37:41,219
TX00138,WALLET_0274,WALLET_0026,2571.25,2026-01-04 09:22:48,13
TX00139,WALLET_0382,WALLET_0071,5608.25,2025-12-27 09:02:35,14
TX00140,WALLET_0176,WALLET_0285,39.44,2025-12-30 20:47:24,48
TX00141,WALLET_0273,WALLET_0306,17585.44,2026-01-21 08:23:13,249
TX00142,WALLET_0068,WALLET_0484,15352.75,2026-01-23 10:13:54,30
TX00143,WALLET_0260,WALLET_0178,23.01,2026-01-17 22:17:55,290
TX00144,WALLET_0478,WALLET_0025,2899.6,2026-01-10 06:36:02,14
TX00145,WALLET_0105,WALLET_0190,33.0,2026-01-12 13:46:35,77
TX00146,WALLET_0085,WALLET_0081,863.56,2026-01-14 10:40:20,5
TX00147,WALLET_0162,WALLET_0370,28.96,2026-01-25 15:03:04,4
TX00148,WALLET_0155,WALLET_0415,9388.34,2026-01-01 10:05:43,76
TX00149,WALLET_0321,WALLET_0438,16508.36,2026-01-22 21:25:46,14
TX00150,WALLET_0086,WALLET_0080,1859.69,2026-01-09 04:07:35,296
TX00151,WALLET_0420,WALLET_0008,13248.07,2025-12-29 20:26:53,8
TX00152,WALLET_0292,WALLET_0018,772.36,2026-01-06 10:20:37,43
TX00153,WALLET_0396,WALLET_0371,9330.66,2026-01-14 10:43:48,127
TX00154,WALLET_0244,WALLET_0132,14863.35,2025-12-30 01:02:40,154
TX00155,WALLET_0110,WALLET_0079,10524.73,2026-01-16 10:11:07,152
TX00156,WALLET_0393,WALLET_0040,13038.71,2026-01-22 21:31:30,7
TX00157,WALLET_0235,WALLET_0366,98.33,2026-01-05 02:50:11,2
TX00158,WALLET_0038,WALLET_0377,17389.97,2026-01-20 06:53:19,57
TX00159,WALLET_0063,WALLET_0051,835.39,2025-12-29 13:53:39,15
TX00160,WALLET_0174,WALLET_0411,56.43,2025-12-30 01:50:58,41
TX00161,WALLET_0106,WALLET_0079,900.84,2026-01-05 18:28:55,4
TX00162,WALLET_0481,WALLET_0124,58.43,2025-12-29 18:37:55,15
TX00163,WALLET_0078,WALLET_0053,18621.71,2025-12-28 17:50:21,52
TX00164,WALLET_0268,WALLET_0068,2605.98,2026-01-22 09:35:28,12
TX00165,WALLET_0318,WALLET_0162,2275.11,2026-01-11 22:11:55,109
TX00166,WALLET_0434,WALLET_0392,9401.08,2026-01-06 08:24:20,15
TX00167,WALLET_0017,WALLET_0090,2332.39,2025-12-28 02:23:26,67
TX00168,WALLET_0446,WALLET_0212,1886.82,2026-01-22 06:04:03,187
TX00169,WALLET_0014,WALLET_0395,750.88,2025-12-29 18:27:07,6
TX00170,WALLET_0480,WALLET_0283,83.22,2026-01-14 02:48:20,285
TX00171,WALLET_0465,WALLET_0098,92.94,2026-01-21 13:23:35,2
TX00172,WALLET_0412,WALLET_0416,1001.23,2026-01-23 02:58:25,47
TX00173,WALLET_0135,WALLET_0478,2985.2,2026-01-16 06:52:00,14
TX00174,WALLET_0124,WALLET_0465,11224.92,2026-01-05 00:12:39,14
TX00175,WALLET_0473,WALLET_0029,2048.25,2026-01-16 04:50:33,295
TX00176,WALLET_0481,WALLET_0090,56.45,2026-01-14 21:19:47,74
TX00177,WALLET_0411,WALLET_0025,16306.67,2025-12-26 22:54:21,2
TX00178,WALLET_0021,WALLET_0242,9219.66,2025-12-28 01:47:58,230
TX00179,WALLET_0160,WALLET_0271,2802.24,2026-01-15 13:54:14,12
TX00180,WALLET_0206,WALLET_0062,18560.28,2026-01-07 17:53:03,244
TX00181,WALLET_0062,WALLET_0321,1021.14,2026-01-12 16:56:31,193
TX00182,WALLET_0209,WALLET_0055,31.27,2026-01-12 17:44:37,159
TX00183,WALLET_0007,WALLET_0149,799.13,2025-12-30 03:37:27,5
TX00184,WALLET_0300,WALLET_0007,1131.94,2026-01-13 20:57:23,116
TX00185,WALLET_0335,WALLET_0391,2525.82,2026-01-02 13:02:09,224
TX00186,WALLET_0385,WALLET_0297,56.8,2026-01-22 18:14:11,10
TX00187,WALLET_0267,WALLET_0361,712.03,2026-01-03 21:32:27,137
TX00188,WALLET_0154,WALLET_0264,84.98,2026-01-11 14:52:48,8
TX00189,WALLET_0412,WALLET_0292,2620.53,2026-01-10 08:45:44,212
TX00190,WALLET_0341,WALLET_0005,6433.22,2026-01-04 19:09:02,2
TX00191,WALLET_0355,WALLET_0325,11540.31,2026-01-20 20:56:06,6
TX00192,WALLET_0182,WALLET_0145,1293.52,2026-01-21 18:12:19,12
TX00193,WALLET_0480,WALLET_0355,956.48,2026-01-24 05:00:12,82
TX00194,WALLET_0292,WALLET_0101,40.54,2026-01-07 14:18:47,6
TX00195,WALLET_0037,WALLET_0078,2730.28,2026-01-21 10:43:36,2
TX00196,WALLET_0047,WALLET_0439,1435.77,2025-12-28 05:20:02,3
TX00197,WALLET_0058,WALLET_0057,78.18,2026-01-23 15:16:45,7
TX00198,WALLET_0319,WALLET_0347,89.96,2026-01-16 08:58:51,42
TX00199,WALLET_0281,WALLET_0235,89.97,2025-12-29 22:14:53,12
TX00200,WALLET_0329,WALLET_0464,14439.32,2025-12-31 01:06:58,186
TX00201,WALLET_0140,WALLET_0431,18507.78,2026-01-06 06:15:55,89
TX00202,WALLET_0308,WALLET_0309,60.06,2026-01-20 19:03:49,202
TX00203,WALLET_0017,WALLET_0205,49.47,2025-12-29 01:57:38,15
TX00204,WALLET_0340,WALLET_0095,19856.13,2026-01-06 13:38:54,2
TX00205,WALLET_0021,WALLET_0304,66.31,2026-01-13 00:43:40,1
TX00206,WALLET_0480,WALLET_0397,1141.44,2026-01-06 13:48:48,150
TX00207,WALLET_0149,WALLET_0458,52.21,2026-01-11 22:51:21,131
TX00208,WALLET_0048,WALLET_0061,42.67,2026-01-24 07:50:07,5
TX00209,WALLET_0062,WALLET_0212,583.45,2026-01-20 00:46:59,194
TX00210,WALLET_0316,WALLET_0336,634.9,2026-01-07 21:46:47,2
TX00211,WALLET_0146,WALLET_0327,2865.58,2026-01-18 02:08:29,39
TX00212,WALLET_0057,WALLET_0224,14686.75,2025-12-30 05:10:48,1
TX00213,WALLET_0067,WALLET_0125,89.8,2026-01-19 08:11:55,7
TX00214,WALLET_0007,WALLET_0330,2238.55,2026-01-19 12:44:49,1
TX00215,WALLET_0109,WALLET_0285,755.84,2026-01-05 21:12:36,86
TX00216,WALLET_0179,WALLET_0141,56.5,2026-01-16 10:28:18,74
TX00217,WALLET_0064,WALLET_0157,2452.7,2026-01-09 17:42:02,1
TX00218,WALLET_0482,WALLET_0391,35.74,2026-01-04 14:04:00,7
TX00219,WALLET_0245,WALLET_0068,1211.51,2026-01-02 05:33:42,12
TX00220,WALLET_0039,WALLET_0315,601.33,2026-01-03 08:40:21,13
TX00221,WALLET_0457,WALLET_0061,15.9,2026-01-11 02:22:25,144
TX00222,WALLET_0024,WALLET_0354,97.92,2026-01-08 12:18:11,207
TX00223,WALLET_0325,WALLET_0340,51.36,2026-01-12 22:49:51,290
TX00224,WALLET_0083,WALLET_0186,2914.9,2025-12-31 18:18:01,98
TX00225,WALLET_0165,WALLET_0394,19789.63,2026-01-23 15:03:56,9
TX00226,WALLET_0149,WALLET_0338,82.42,2026-01-14 15:26:42,13
TX00227,WALLET_0068,WALLET_0296,1496.78,2025-12-26 19:46:49,10
TX00228,WALLET_0264,WALLET_0195,1458.6,2026-01-11 04:48:27,206
TX00229,WALLET_0243,WALLET_0473,8.84,2025-12-29 15:17:33,8
TX00230,WALLET_0169,WALLET_0466,14462.27,2026-01-14 02:10:05,106
TX00231,WALLET_0012,WALLET_0328,42.75,2026-01-25 10:18:23,12
TX00232,WALLET_0110,WALLET_0203,13846.22,2026-01-10 05:02:35,276
TX00233,WALLET_0394,WALLET_0324,15890.46,2025-12-31 01:16:34,4
TX00234,WALLET_0299,WALLET_0357,6671.39,2026-01-01 02:12:56,288
TX00235,WALLET_0090,WALLET_0465,5289.65,2026-01-06 07:30:59,291
TX00236,WALLET_0269,WALLET_0207,18012.47,2026-01-03 19:30:27,272
TX00237,WALLET_0190,WALLET_0276,12899.51,2026-01-21 17:19:12,6
TX00238,WALLET_0493,WALLET_0286,17.88,2026-01-05 04:08:19,175
TX00239,WALLET_0256,WALLET_0281,75.09,2026-01-02 02:40:47,10
TX00240,WALLET_0053,WALLET_0255,1067.99,2026-01-06 21:44:16,13
TX00241,WALLET_0204,WALLET_0457,66.71,2026-01-19 18:14:52,70
TX00242,WALLET_0099,WALLET_0449,85.83,2026-01-16 07:36:33,245
TX00243,WALLET_0092,WALLET_0143,2918.2,2026-01-07 15:21:11,162
TX00244,WALLET_0155,WALLET_0172,7.19,2026-01-19 16:01:23,198
TX00245,WALLET_0434,WALLET_0071,2464.33,2026-01-10 06:04:25,121
TX00246,WALLET_0406,WALLET_0298,15234.52,2026-01-02 23:12:43,8
TX00247,WALLET_0398,WALLET_0083,929.23,2025-12-29 03:12:00,6
TX00248,WALLET_0175,WALLET_0002,28.25,2026-01-05 16:22:41,174
TX00249,WALLET_0028,WALLET_0349,13.45,2025-12-26 18:45:16,7
TX00250,WALLET_0014,WALLET_0257,6360.78,2025-12-31 18:56:11,14
TX00251,WALLET_0362,WALLET_0168,2766.19,2026-01-10 06:56:21,225
TX00252,WALLET_0191,WALLET_0390,81.27,2026-01-02 17:47:13,6
TX00253,WALLET_0450,WALLET_0331,12191.58,2026-01-12 07:09:22,130
TX00254,WALLET_0135,WALLET_0329,32.97,2026-01-11 04:40:24,12
TX00255,WALLET_0376,WALLET_0154,11.54,2026-01-01 06:26:19,81
TX00256,WALLET_0115,WALLET_0053,95.54,2026-01-04 19:10:49,282
TX00257,WALLET_0022,WALLET_0087,18901.42,2026-01-08 03:36:59,11
TX00258,WALLET_0302,WALLET_0362,2263.48,2026-01-19 13:53:09,280
TX00259,WALLET_0036,WALLET_0284,9842.35,2025-12-27 18:31:44,293
TX00260,WALLET_0123,WALLET_0016,16724.73,2025-12-31 11:06:40,11
TX00261,WALLET_0244,WALLET_0285,1945.27,2026-01-08 12:36:24,126
TX00262,WALLET_0096,WALLET_0462,6209.54,2025-12-30 00:31:18,60
TX00263,WALLET_0268,WALLET_0465,8554.36,2026-01-15 15:42:07,3
TX00264,WALLET_0030,WALLET_0076,17950.79,2025-12-30 20:32:10,10
TX00265,WALLET_0384,WALLET_0312,5309.63,2026-01-05 07:18:34,8
TX00266,WALLET_0073,WALLET_0159,38.3,2026-01-03 07:41:54,10
TX00267,WALLET_0300,WALLET_0275,45.35,2026-01-07 00:52:11,110
TX00268,WALLET_0293,WALLET_0183,29.92,2026-01-07 17:56:44,282
TX00269,WALLET_0274,WALLET_0449,1170.26,2026-01-04 03:16:01,11
TX00270,WALLET_0146,WALLET_0177,93.53,2026-01-02 06:42:52,9
TX00271,WALLET_0327,WALLET_0489,622.33,2026-01-14 03:33:53,190
TX00272,WALLET_0192,WALLET_0450,2690.81,2025-12-27 06:44:23,7
TX00273,WALLET_0292,WALLET_0110,8.71,2026-01-01 21:30:01,167
TX00274,WALLET_0316,WALLET_0228,9887.17,2026-01-13 22:34:18,86
TX00275,WALLET_0484,WALLET_0099,20.77,2026-01-21 16:53:03,2
TX00276,WALLET_0127,WALLET_0450,92.86,2026-01-09 11:40:36,96
TX00277,WALLET_0267,WALLET_0041,2991.01,2026-01-06 01:39:58,10
TX00278,WALLET_0441,WALLET_0360,1577.38,2026-01-15 05:38:31,14
TX00279,WALLET_0368,WALLET_0245,23.18,2026-01-04 21:37:50,15
TX00280,WALLET_0326,WALLET_0322,13396.56,2026-01-08 10:01:04,172
TX00281,WALLET_0449,WALLET_0486,541.23,2026-01-25 12:13:29,1
TX00282,WALLET_0301,WALLET_0269,846.55,2026-01-20 15:46:26,265
TX00283,WALLET_0472,WALLET_0493,2245.53,2026-01-15 20:15:37,296
TX00284,WALLET_0412,WALLET_0251,1085.42,2026-01-03 12:45:41,32
TX00285,WALLET_0183,WALLET_0247,48.69,2026-01-14 23:09:31,4
TX00286,WALLET_0308,WALLET_0282,15.28,2026-01-10 13:42:31,3
TX00287,WALLET_0328,WALLET_0471,19924.83,2026-01-11 13:33:06,14
TX00288,WALLET_0063,WALLET_0125,952.94,2026-01-24 22:57:53,15
TX00289,WALLET_0221,WALLET_0317,14.38,2026-01-19 10:26:41,12
TX00290,WALLET_0243,WALLET_0386,9343.96,2026-01-06 01:05:41,71
TX00291,WALLET_0473,WALLET_0300,2852.53,2026-01-16 11:00:25,171
TX00292,WALLET_0305,WALLET_0339,19.4,2026-01-21 11:17:13,179
TX00293,WALLET_0277,WALLET_0072,75.1,2025-12-29 21:16:55,106
TX00294,WALLET_0121,WALLET_0336,10216.97,2026-01-15 11:55:58,108
TX00295,WALLET_0107,WALLET_0493,18577.47,2026-01-14 04:02:59,12
TX00296,WALLET_0350,WALLET_0284,61.75,2025-12-27 22:56:59,13
TX00297,WALLET_0184,WALLET_0120,2880.56,2025-12-27 00:16:21,87
TX00298,WALLET_0174,WALLET_0247,10168.07,2026-01-18 00:50:25,91
TX00299,WALLET_0228,WALLET_0111,2147.64,2026-01-14 13:40:00,1
TX00300,WALLET_0284,WALLET_0144,11.53,2026-01-11 07:16:53,12
TX00301,WALLET_0244,WALLET_0500,18366.02,2026-01-13 00:01:52,205
TX00302,WALLET_0158,WALLET_0180,587.79,2026-01-11 11:30:36,11
TX00303,WALLET_0324,WALLET_0048,62.95,2026-01-21 07:25:08,191
TX00304,WALLET_0234,WALLET_0284,11820.73,2026-01-15 22:32:20,93
TX00305,WALLET_0217,WALLET_0081,7759.28,2026-01-24 11:46:35,10
TX00306,WALLET_0346,WALLET_0081,1089.5,2026-01-19 03:44:39,4
TX00307,WALLET_0267,WALLET_0152,1211.0,2025-12-28 00:59:51,206
TX00308,WALLET_0359,WALLET_0107,21.45,2026-01-14 19:21:56,10
TX00309,WALLET_0407,WALLET_0188,37.96,2026-01-08 11:04:19,9
TX00310,WALLET_0142,WALLET_0149,50.81,2026-01-02 08:43:08,4
TX00311,WALLET_0467,WALLET_0110,1173.96,2026-01-22 08:28:02,3
TX00312,WALLET_0052,WALLET_0112,2551.62,2026-01-11 10:37:13,8
TX00313,WALLET_0028,WALLET_0149,2529.49,2025-12-31 08:45:16,194
TX00314,WALLET_0159,WALLET_0263,1760.67,2026-01-19 07:29:34,142
TX00315,WALLET_0390,WALLET_0455,2611.04,2026-01-25 14:28:54,1
TX00316,WALLET_0404,WALLET_0314,6248.14,2026-01-06 02:41:53,15
TX00317,WALLET_0463,WALLET_0043,14558.87,2025-12-26 22:03:24,10
TX00318,WALLET_0330,WALLET_0417,15187.69,2026-01-16 08:53:43,5
TX00319,WALLET_0379,WALLET_0216,13558.68,2025-12-28 19:15:03,276
TX00320,WALLET_0038,WALLET_0299,61.41,2026-01-07 18:59:20,84
TX00321,WALLET_0222,WALLET_0413,19348.6,2025-12-29 09:25:24,120
TX00322,WALLET_0472,WALLET_0123,1040.49,2026-01-02 10:36:03,14
TX00323,WALLET_0123,WALLET_0325,35.93,2026-01-09 10:59:34,8
TX00324,WALLET_0265,WALLET_0075,14794.56,2026-01-21 07:02:49,75
TX00325,WALLET_0455,WALLET_0016,64.22,2026-01-01 05:40:33,253
TX00326,WALLET_0350,WALLET_0485,13204.64,2026-01-04 20:40:48,15
TX00327,WALLET_0319,WALLET_0391,12.96,2026-01-14 13:58:51,14
TX00328,WALLET_0233,WALLET_0355,548.96,2026-01-03 21:18:15,13
TX00329,WALLET_0062,WALLET_0496,1605.06,2026-01-24 07:33:13,3
TX00330,WALLET_0215,WALLET_0409,2372.77,2026-01-04 02:06:29,14
TX00331,WALLET_0256,WALLET_0149,2530.48,2026-01-19 14:21:36,14
TX00332,WALLET_0144,WALLET_0280,71.22,2026-01-15 20:05:12,162
TX00333,WALLET_0472,WALLET_0340,16424.18,2026-01-07 18:17:54,13
TX00334,WALLET_0024,WALLET_0221,10598.21,2026-01-18 16:24:49,6
TX00335,WALLET_0387,WALLET_0178,85.7,2026-01-09 21:09:11,4
TX00336,WALLET_0363,WALLET_0169,67.5,2026-01-07 23:20:25,294
TX00337,WALLET_0077,WALLET_0328,1526.18,2026-01-03 04:33:42,261
TX00338,WALLET_0048,WALLET_0226,13874.67,2026-01-03 01:09:34,130
TX00339,WALLET_0068,WALLET_0303,35.06,2026-01-04 19:55:43,137
TX00340,WALLET_0445,WALLET_0357,1649.8,2026-01-22 19:52:30,68
TX00341,WALLET_0465,WALLET_0205,2958.9,2026-01-20 03:55:54,12
TX00342,WALLET_0497,WALLET_0038,20.92,2026-01-18 05:47:13,3
TX00343,WALLET_0059,WALLET_0301,49.79,2026-01-25 01:51:00,214
